paper id,last_name,first_name,full_name,api_gender,api_script,api_scale,api_score,api_probabilityCalibrated
704.1922,Mj,Mahan,Mahan Mj,male,LATIN,-0.6589852209733271,8.118710931800969,0.8294926104866636
704.1924,Arndt,Marcel,Marcel Arndt,male,LATIN,-0.9608611114105172,15.390749718419896,0.9804305557052586
704.1924,Luskin,Mitchell,Mitchell Luskin,male,LATIN,-0.041814832631144,1.2563177774494207,0.520907416315572
704.1923,Roslyak,Oleksiy,Oleksiy Roslyak,male,LATIN,-0.9895908599861684,21.73563112700598,0.9947954299930842
704.1923,Birman,Joseph L.,Joseph L. Birman,male,LATIN,-0.5304900394829888,7.3660095031417026,0.7652450197414944
704.1926,Witte,Nicholas S.,Nicholas S. Witte,male,LATIN,-0.984312473207752,19.728146037988058,0.992156236603876
704.1928,Holm,Darryl,Darryl Holm,male,LATIN,-0.943410360354256,14.246682200109706,0.971705180177128
704.1928,Pouquet,Annick,Annick Pouquet,female,LATIN,0.4173473594230299,6.552042776085102,0.708673679711515
704.1931,Nemoto,Kae,Kae Nemoto,female,LATIN,0.4652743226094522,7.128115908226474,0.7326371613047261
704.1934,Kryukov,Alexey A.,Alexey A. Kryukov,male,LATIN,-0.993804722383152,35.42182485144057,0.996902361191576
704.1932,Zhang,Pengjie,Pengjie Zhang,male,LATIN,-0.9866386525228776,20.52537624441377,0.9933193262614388
704.1932,Bean,Rachel,Rachel Bean,female,LATIN,0.6169211394245124,7.805761576276391,0.8084605697122562
704.1939,Nha,Hyunchul,Hyunchul Nha,male,LATIN,-0.8922494344301111,11.686941859253936,0.9461247172150556
704.1943,Ziegler,Günter M.,Günter M. Ziegler,male,LATIN,-0.9771274119074148,18.236953800521004,0.9885637059537074
704.1937,Ishikawa,K-I.,K-I. Ishikawa,male,LATIN,-0.005709069227844,0.0231291658868743,0.502854534613922
704.1938,Kamiyama,Yasuhiko,Yasuhiko Kamiyama,male,LATIN,-0.9731522144266757,16.763542447455315,0.9865761072133378
704.1945,Suwa,Yudai,Yudai Suwa,male,LATIN,-0.7506723024538595,9.731439967084818,0.8753361512269298
704.1945,Takiwaki,Tomoya,Tomoya Takiwaki,male,LATIN,-0.3997109360365058,6.070626954397724,0.6998554680182529
704.1949,Ueda,Kouji,Kouji Ueda,male,LATIN,-0.922789914147354,12.78659037871421,0.961394957073677
704.1952,Buzna,Lubos,Lubos Buzna,male,LATIN,-0.73007354278444,9.088433555311566,0.86503677139222
704.1952,Peters,Karsten,Karsten Peters,male,LATIN,-0.8221602328083586,10.634652008461812,0.9110801164041792
704.1951,Nart,Enric,Enric Nart,male,LATIN,-0.9835099692633582,19.55457514805886,0.9917549846316792
704.1957,Bowen,Garry,Garry Bowen,male,LATIN,-0.9752386032873666,17.289475644356752,0.9876193016436832
704.1957,Datta,Nilanjana,Nilanjana Datta,female,LATIN,0.9782026318966728,18.370262024020214,0.9891013159483364
704.1964,Buonanno,Alessandra,Alessandra Buonanno,female,LATIN,0.9430646047932338,14.233270240741016,0.9715323023966168
704.1964,Baker,John G.,John G. Baker,male,LATIN,-0.993775209965587,30.03960452886696,0.9968876049827936
704.1964,Centrella,Joan,Joan Centrella,female,LATIN,0.2240191952725247,3.277605640305961,0.6120095976362624
704.1964,Kelly,Bernard J.,Bernard J. Kelly,male,LATIN,-0.9879028641318848,21.163143904961714,0.9939514320659424
704.1964,McWilliams,Sean T.,Sean T. McWilliams,male,LATIN,-0.9905262855596988,22.29457214990991,0.9952631427798494
704.1964,Pretorius,Frans,Frans Pretorius,male,LATIN,-0.9936721728154284,28.54182477276453,0.9968360864077144
704.1968,Gergely,László Á.,László Á. Gergely,male,LATIN,-0.9915197660159524,24.11766307146775,0.9957598830079762
704.1968,Biermann,Peter L.,Peter L. Biermann,male,LATIN,-0.9872452249139316,20.908051581611904,0.9936226124569658
704.1971,Youd,Anthony J.,Anthony J. Youd,male,LATIN,-0.988393047013272,21.29847857142805,0.994196523506636
704.1975,Gutkin,Eugene,Eugene Gutkin,male,LATIN,-0.8460378546776242,10.88533989955455,0.923018927338812
704.1974,Wiotte,Fabrice,Fabrice Wiotte,male,LATIN,-0.6040302166735556,7.726616488186043,0.8020151083367778
704.1973,Mravlje,Jernej,Jernej Mravlje,male,LATIN,-0.991526601855891,24.155976960385125,0.9957633009279456
704.1973,Zitko,Rok,Rok Zitko,male,LATIN,-0.8825518621584021,11.457475663326282,0.941275931079201
704.1976,Brody,Dorje C.,Dorje C. Brody,male,LATIN,-0.4152991872887934,6.482743760866308,0.7076495936443967
704.1979,Rejec,Tomaz,Tomaz Rejec,male,LATIN,-0.7478637089272295,9.61543096130967,0.8739318544636148
704.1995,Qiu,Haibo,Haibo Qiu,female,LATIN,0.0263266142531031,0.970105845317602,0.5131633071265516
704.1994,Khomyakov,Petr A.,Petr A. Khomyakov,male,LATIN,-0.99380483223086,43.35519912039789,0.99690241611543
704.1994,Brocks,Geert,Geert Brocks,male,LATIN,-0.9916402902609416,25.20443273332585,0.9958201451304708
704.1994,Brink,Jeroen van den,Jeroen van den Brink,male,LATIN,-0.987440993316071,21.050471259487363,0.9937204966580356
704.1996,Kounnas,Costas,Costas Kounnas,male,LATIN,-0.9229632605656868,12.793852233476102,0.9614816302828434
704.1999,Mohayaee,Roya,Roya Mohayaee,female,LATIN,0.9401371004770742,14.074224838631016,0.9700685502385372
704.2003,Vaglica,Gabriella,Gabriella Vaglica,female,LATIN,0.9695020901214542,16.218156161700897,0.9847510450607272
704.2003,Moro,Esteban,Esteban Moro,male,LATIN,-0.934172706349081,13.431179486472963,0.9670863531745404
704.2009,Jiang,Yunfeng,Yunfeng Jiang,male,LATIN,-0.8682028321684199,11.192505087279995,0.93410141608421
704.2009,Tseng,Hsian-Hua,Hsian-Hua Tseng,female,LATIN,0.2547966631831426,3.870538550641844,0.6273983315915713
704.2012,Kumar,Sanjeev,Sanjeev Kumar,male,LATIN,-0.9604122120908436,15.33717451755586,0.9802061060454218
704.202,Gu,Pei-Hong,Pei-Hong Gu,male,LATIN,-0.0150087619370171,0.7496295922031417,0.5075043809685086
704.202,He,Hong-Jian,Hong-Jian He,male,LATIN,-0.4454518038010069,7.065737346134278,0.7227259019005035
704.2014,Halpern,Joseph Y.,Joseph Y. Halpern,male,LATIN,-0.8681481709667354,11.191618757572662,0.9340740854833676
704.2022,Gow,Rod,Rod Gow,male,LATIN,-0.976383070856968,17.761195731191577,0.988191535428484
704.2021,Lee,Su Houng,Su Houng Lee,female,LATIN,0.1635314485772963,2.5170955078325754,0.5817657242886481
704.2024,Amara,Hakim,Hakim Amara,male,LATIN,-0.9424608523967856,14.2102733282799,0.9712304261983928
704.2026,Guerret-Piecourt,Christelle,Christelle Guerret-Piecourt,female,LATIN,0.9373611925166044,13.723620096559896,0.9686805962583022
704.2029,Jarvis,Peter D.,Peter D. Jarvis,male,LATIN,-0.990955839969933,22.71595775578266,0.9954779199849664
704.203,Durov,Nikolai,Nikolai Durov,male,LATIN,-0.9937830823846644,30.34945119337543,0.9968915411923324
704.2031,Guerra,Graziano,Graziano Guerra,male,LATIN,-0.916176949542256,12.542838174188075,0.958088474771128
704.2032,Lanfranchi,Gustavo A.,Gustavo A. Lanfranchi,male,LATIN,-0.9937666418443584,29.786418766544287,0.9968833209221792
704.2034,Coates,Tom,Tom Coates,male,LATIN,-0.9715881666907143,16.492924539569067,0.9857940833453572
704.2034,Corti,Alessio,Alessio Corti,male,LATIN,-0.9748007713444492,17.155057071205,0.9874003856722248
704.2036,Johnston,Karen,Karen Johnston,female,LATIN,0.8606403785421666,11.076786830870548,0.9303201892710832
704.2035,Lee,Jinhyoung,Jinhyoung Lee,male,LATIN,-0.0830271687480319,1.7837282621834962,0.541513584374016
704.204,Huang,Xiaojun,Xiaojun Huang,male,LATIN,-0.2579655894066115,3.9299425450226098,0.6289827947033058
704.2041,Birbrair,Lev,Lev Birbrair,male,LATIN,-0.9517709929772362,14.641943389218484,0.975885496488618
704.2041,Neumann,Walter D.,Walter D. Neumann,male,LATIN,-0.9914931229657986,23.98095115572126,0.9957465614828992
704.2043,Hod,Oded,Oded Hod,male,LATIN,-0.985545438850944,20.07235118580156,0.992772719425472
704.2043,Barone,Veronica,Veronica Barone,female,LATIN,0.991619859751116,24.91697519804276,0.995809929875558
704.2048,Flanagan,Mark F.,Mark F. Flanagan,male,LATIN,-0.9858811413162674,20.190986169106512,0.9929405706581336
704.2048,Mansour,Toufik,Toufik Mansour,male,LATIN,-0.9769813298345784,18.13965019195232,0.9884906649172892
704.205,Dutkay,Dorin Ervin,Dorin Ervin Dutkay,male,LATIN,-0.7505281131865893,9.72514491092026,0.8752640565932946
704.205,Jorgensen,Palle E. T.,Palle E. T. Jorgensen,male,LATIN,-0.2727335398800097,4.263087281853412,0.6363667699400049
704.2053,Wang,Ran,Ran Wang,male,LATIN,-0.4255928239100925,6.892741893955243,0.7127964119550463
704.2053,Menten,Karl M.,Karl M. Menten,male,LATIN,-0.268704818898889,4.161051453701449,0.6343524094494445
704.2053,Omont,Alain,Alain Omont,male,LATIN,-0.9818361330949644,19.02784256183865,0.9909180665474822
704.2053,Cox,Pierre,Pierre Cox,male,LATIN,-0.978296892992866,18.382842290163968,0.989148446496433
704.2053,Jiang,Linhua,Linhua Jiang,female,LATIN,0.9864645761340514,20.4380515564902,0.9932322880670256
704.2058,Kankelborg,Charles C.,Charles C. Kankelborg,female,LATIN,0.3971520797825019,6.016618599049719,0.6985760398912509
704.2063,Fan,Yi-Zhong,Yi-Zhong Fan,male,LATIN,-0.9370248994370128,13.688419188940756,0.9685124497185064
704.2063,Piran,Tsvi,Tsvi Piran,male,LATIN,-0.93912078652224,13.931213359508575,0.96956039326112
704.2063,Narayan,Ramesh,Ramesh Narayan,male,LATIN,-0.969234381347336,16.1877900871553,0.984617190673668
704.2063,Wei,Da-Ming,Da-Ming Wei,male,LATIN,-0.0695984775236036,1.672024230880369,0.5347992387618018
704.2062,Vacaru,Sergiu I.,Sergiu I. Vacaru,male,LATIN,-0.990988536851226,22.75666587725277,0.995494268425613
704.2066,Berry,Dominic W.,Dominic W. Berry,male,LATIN,-0.9804792388124022,18.72970824052007,0.9902396194062012
704.207,Vagenas,Elias C.,Elias C. Vagenas,male,LATIN,-0.9863052538753444,20.364305592411725,0.993152626937672
704.2067,Sfetsos,Konstadinos,Konstadinos Sfetsos,male,LATIN,-0.9937984610637924,31.57465535695377,0.9968992305318962
704.2071,Taylor,Tomasz R.,Tomasz R. Taylor,male,LATIN,-0.9914756832111512,23.90062800705888,0.9957378416055755
704.2076,Pachos,Jiannis K.,Jiannis K. Pachos,male,LATIN,-0.9828769110323764,19.33766408279003,0.991438455516188
704.2081,Cortissoz,Jean,Jean Cortissoz,male,LATIN,-0.2796578965131273,4.466290620486907,0.6398289482565637
704.2082,Joshi,Aditya,Aditya Joshi,male,LATIN,-0.6678712291846449,8.199502150512156,0.8339356145923225
704.2084,Burke,Kieron,Kieron Burke,male,LATIN,-0.938293515291072,13.8282333787705,0.969146757645536
