paper id,last_name,first_name,full_name,gd_gender,gg_gender,genderize_gender,ns_gender,genderize_probability,ns_probability
704.0103,Gemelli,Gianluca,Gianluca Gemelli,male,male,male,male,0.99,0.9251382923094428
704.0105,Polterovich,Leonid,Leonid Polterovich,male,male,male,male,1.0,0.9913313933766036
704.0106,Wang,Xin-Nian,Xin-Nian Wang,unknown,unknown,unknown,male,0.0,0.9916367188069182
704.0106,Zhang,Ben-Wei,Ben-Wei Zhang,unknown,unknown,unknown,male,0.0,0.6880793959802055
704.0108,Gubin,Sergey,Sergey Gubin,male,male,male,male,1.0,0.996512200440505
704.0109,Durgun,Engin,Engin Durgun,unknown,male,male,male,0.97,0.9744883759647612
704.0109,Cakir,Deniz,Deniz Cakir,unknown,female,male,male,0.6,0.5172220210757851
704.0109,Ciraci,Salim,Salim Ciraci,male,male,male,male,0.98,0.9421366206871368
704.0113,Li,Xiaolin,Xiaolin Li,unknown,unknown,female,female,0.55,0.5322663767632719
704.0113,Zhang,Li,Li Zhang,unknown,unknown,female,female,0.63,0.6424878533206081
704.0113,Wang,Xinran,Xinran Wang,unknown,unknown,female,female,0.67,0.5341283764118236
704.0113,Sun,Xiaoming,Xiaoming Sun,unknown,unknown,male,male,0.81,0.5650015505415772
704.0113,Dai,Hongjie,Hongjie Dai,unknown,unknown,male,male,0.81,0.995831081752404
704.0116,Hong,Soon-Tae,Soon-Tae Hong,unknown,unknown,male,male,1.0,0.5836218191218395
704.0115,Ando,Yoshifumi,Yoshifumi Ando,unknown,male,male,male,0.99,0.9932702425007076
704.0118,Welander,Paul B.,Paul B. Welander,male,male,male,male,0.99,0.996001994452478
704.0118,Eckstein,James N.,James N. Eckstein,male,male,male,male,0.99,0.9956578363475846
704.0114,Yao,Dao-Xin,Dao-Xin Yao,unknown,unknown,unknown,male,0.0,0.5830286011948239
704.0121,Ahn,Changhyun,Changhyun Ahn,unknown,male,male,male,0.99,0.9934143420635486
704.012,Cheng,Xiao-Dong,Xiao-Dong Cheng,unknown,unknown,male,male,1.0,0.9859280508023404
704.012,Li,Hai-Bo,Hai-Bo Li,unknown,unknown,unknown,male,0.0,0.6872568005783326
704.012,Wang,Yi-Fang,Yi-Fang Wang,unknown,unknown,female,female,1.0,0.8655047831750542
