,errorCoded,errorCodedWithoutNA,naCoded,errorGenderBias
Gender Detector,0.46375445212654515,0.0035039906560249173,0.4618688455897758,0.0019466614755693985
Gender Guesser,0.32861931699141,0.011566933991363356,0.32076262308820447,0.007557063541024059
Genderize,0.06452964592499476,0.007005448682308462,0.05793002304630212,-0.0036695207383520517
NamSor,0.0562539283469516,0.05615505500261917,0.00010475591870940707,0.008171817705605029
