paper id,last_name,first_name,full_name,gender,confidence,gd_gender,gg_gender,genderize_gender,ns_gender,genderize_probability,ns_probability
704.1378,Strickland,Neil,Neil Strickland,male,1.0,male,male,male,male,0.99,0.9885309764350966
704.138,Miyauchi,Yuhei,Yuhei Miyauchi,male,0.681143225184853,unknown,male,male,male,1.0,0.9745729007394124
704.1382,Fishman,Shmuel,Shmuel Fishman,male,1.0,male,male,male,male,0.98,0.9957847418930764
704.1382,Guarneri,Italo,Italo Guarneri,male,1.0,male,male,male,male,0.99,0.9812589690872028
704.1383,Dabrowski,Mariusz P.,Mariusz P. Dabrowski,male,1.0,male,male,male,male,1.0,0.992502064450911
704.1383,Hendry,Martin A.,Martin A. Hendry,male,0.65,male,male,male,female,0.98,0.967904604565248
704.1385,Paluba,Waldemar,Waldemar Paluba,male,1.0,male,male,male,male,1.0,0.995660767239528
704.1386,Goldstein,Moshe,Moshe Goldstein,male,1.0,male,male,male,male,0.98,0.988148748732642
704.1388,Hellier,Coel,Coel Hellier,male,0.6765637550214381,male,unknown,male,male,0.85,0.9862550200857524
704.139,Gholami,Azam,Azam Gholami,male,1.0,male,male,male,male,0.82,0.6757091862486624
704.139,Frey,Erwin,Erwin Frey,male,1.0,male,male,male,male,0.99,0.9952985870962926
704.1394,Hadzic,Tarik,Tarik Hadzic,male,1.0,male,male,male,male,0.98,0.9863771791058444
704.1396,Neindre,Nicolas Le,Nicolas Le Neindre,male,1.0,male,male,male,male,0.99,0.9878131082598436
704.1401,Ferguson,James T.,James T. Ferguson,male,1.0,male,male,male,male,0.99,0.9956995068745972
704.1404,Friman,Bengt,Bengt Friman,male,1.0,male,male,male,male,0.98,0.9966722668590968
704.1403,Cattaneo,Alberto S.,Alberto S. Cattaneo,male,1.0,male,male,male,male,0.99,0.9947978710451604
704.1405,Dias,Oscar J. C.,Oscar J. C. Dias,male,1.0,male,male,male,male,0.99,0.996822465291915
704.1405,Silva,Pedro J.,Pedro J. Silva,male,0.6525000000000001,male,male,male,female,0.99,0.5888602085004712
704.1406,Angoshtari,Arzhang,Arzhang Angoshtari,male,0.24,unknown,unknown,male,male,0.96,0.87036616037261
704.1409,HengShuai,Yao,Yao HengShuai,male,0.6313978761534904,male,unknown,male,male,0.8,0.8555915046139618
704.1424,Curceanu,Catalina,Catalina Curceanu,female,1.0,female,female,female,female,0.98,0.9951728725806308
704.1437,Lina,Guo,Guo Lina,male,0.175,unknown,unknown,male,male,0.7,0.9957798334086424
704.1437,Jiulin,Du,Du Jiulin,male,0.5699904270677967,male,unknown,male,male,0.72,0.689961708271187
704.1438,Janssen,Bert,Bert Janssen,male,0.6782981703397837,unknown,male,male,male,0.97,0.9931926813591349
704.1438,Lozano,Yolanda,Yolanda Lozano,female,1.0,female,female,female,female,0.99,0.9948796462897044
704.1439,Öttl,Anton,Anton Öttl,male,1.0,male,male,male,male,0.97,0.9936227476485664
704.1442,Wu,Kinwah,Kinwah Wu,male,0.25,unknown,unknown,male,male,1.0,0.8799666762650865
704.1445,Gindikin,Yasha,Yasha Gindikin,neutral,0.19994584201142274,unknown,unknown,male,female,0.76,0.8395667360913819
704.1445,Sablikov,Vladimir A.,Vladimir A. Sablikov,male,1.0,male,male,male,male,0.99,0.99690241611543
704.1446,Nishimura,Hirokazu,Hirokazu Nishimura,male,0.6845294055239388,unknown,male,male,male,1.0,0.9881176220957552
704.1447,Rosenthal,Eran,Eran Rosenthal,male,0.6765701894019843,unknown,male,male,male,0.97,0.9862807576079374
704.1449,Elliott,George A.,George A. Elliott,male,1.0,male,male,male,male,0.98,0.9916875215033382
704.1449,Ivanescu,Cristian,Cristian Ivanescu,male,0.6820714389272398,unknown,male,male,male,0.99,0.9882857557089588
704.1451,Dent,James B.,James B. Dent,male,1.0,male,male,male,male,0.99,0.9821424628307104
704.1451,Kephart,Thomas W.,Thomas W. Kephart,male,1.0,male,male,male,male,0.99,0.9968322783538348
704.1453,Lipp,Hansjörg,Hansjörg Lipp,male,0.6856864250766821,unknown,male,male,male,1.0,0.9927457003067282
704.1458,Ulvestad,James S.,James S. Ulvestad,male,1.0,male,male,male,male,0.99,0.9956130279642792
704.1458,Greene,Jenny E.,Jenny E. Greene,female,0.65,female,female,female,male,0.98,0.995226978229556
704.1458,Ho,Luis C.,Luis C. Ho,male,1.0,male,male,male,male,0.99,0.9929384548574536
704.1459,Ferenczi,Valentin,Valentin Ferenczi,male,1.0,male,male,male,male,0.99,0.9664944357521762
704.1454,Macintosh,Bruce,Bruce Macintosh,male,1.0,male,male,male,male,0.98,0.9883649501943764
704.1454,Doyon,Rene,Rene Doyon,male,0.5761764237374938,unknown,male,male,male,0.91,0.6447056949499752
704.1454,Sivaramakrishnan,Anand,Anand Sivaramakrishnan,male,1.0,male,male,male,male,0.99,0.9934557201636972
704.1454,Wallace,Kent,Kent Wallace,male,1.0,male,male,male,male,0.98,0.9880735704248318
704.1455,Wagner,Aaron B.,Aaron B. Wagner,male,1.0,male,male,male,male,0.99,0.9935198709240552
704.1455,Viswanath,Pramod,Pramod Viswanath,male,0.6525000000000001,male,male,male,female,0.99,0.9845094936671218
704.1463,Bordenave,Charles,Charles Bordenave,male,1.0,male,male,male,male,0.99,0.9864034690005796
