,errorCoded,errorCodedWithouNA,naCoded,errorGenderBias
Gender API,0.042641705668226726,0.04064616988014591,0.0020800832033281333,-0.014590932777488274
Gender Detector,0.22204888195527822,0.005319148936170213,0.21788871554862194,0.0
Gender Guesser,0.11596463858554343,0.010477299185098952,0.10660426417056683,-0.002328288707799767
Genderize,0.047321892875715026,0.029146793852676205,0.0187207488299532,-0.010068892421833599
Name API,0.09932397295891836,0.025323579065841307,0.07592303692147685,0.0005627462014631402
NamSor,0.03380135205408216,0.03380135205408216,0.0,0.005720228809152366
